Name,Price,Abv,Rating,Year_Made,Distillery,Mash_Bill,Flavor_Profile,Aging Period
"Chattanooga Whiskey Vintage Series Bottled in Bond Fall 2019 (Batch 23118F), 50%",53,50,92,2019,Chattanooga Whiskey Distillery,undisclosed,"caramel, oak, spice, vanilla, dark fruit",9
"George T. Stagg, 70.3%",55,70.3,92,2023,Buffalo Trace Distillery,undisclosed,"rich oak, caramel, spice, dark fruit, vanilla",10
"Four Roses Small Batch Select Kentucky Straight Bourbon, 52%",55,52,92,2019,Four Roses Distillery,undisclosed,"spice, caramel, oak, vanilla, fruit",10
"Chattanooga Bottled in Bond Spring 2019 (Batch 23E03R), 50%",55,50,92,2019,Chattanooga Whiskey Co.,undisclosed,"caramel, oak, spice, vanilla, chocolate",12
"Backbone Bourbon Uncut Straight (Batch 15), 58.3%",59,58.3,92,2020,Backbone Bourbon Company (sourced from MGP Distillery),"70% corn, 25% rye, 5% malted barley","caramel, oak, spice, vanilla, toasted nuts",7
"Rebel Yell Single Barrel 10 year old (barrel 5043515), 50%",60,50,92,2016,Lux Row Distillers,Undisclosed,"Oak, Caramel, Vanilla, Spice, Fruit",10
"Rebel Yell 2018 Single Barrel 10 year old, 50%",60,50,92,2018,Lux Row Distillers (sourced from Heaven Hill Distillery),"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, spice, dried fruit",10
"Belle Meade Cask Strength Reserve (Batch No. 5), 56.8%",60,56.8,92,2018,Nelson's Green Brier Distillery (sourced from MGP),undisclosed,"caramel, oak, spice, vanilla, dark fruit",13
"Rebel Yell 10 year old (Barrel 5043515), 50%",60,50,92,2016,Lux Row Distillers,Undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, honey",10
"Bardstown Bourbon Company Fusion Series #1, 49.45%",60,49.5,92,2019,Bardstown Bourbon Company,undisclosed,"caramel, vanilla, oak, baking spice, fruity",12
"Bardstown Bourbon Co. Fusion Series Kentucky Straight Bourbon (No. 2), 49.45%",60,49.5,92,2019,Bardstown Bourbon Company,"60% Corn, 36% Rye, 4% Malted Barley (blend)","Oak, Vanilla, Spice, Caramel, Fruit",2.9
"Kentucky Owl The Wiseman, 45.4%",60,45.4,92,2021,Kentucky Owl (sourced and blended),undisclosed,"caramel, vanilla, spice, oak, fruit",4.5
"Larceny Barrel Proof (Batch B523), 62.2%",60,62.2,92,2023,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, cinnamon, oak, vanilla, baking spice",6
"Firestone & Robertson TX PX Sherry Cask-Finished Texas Bourbon, 50.8%",65,50.8,92,2023,Firestone & Robertson Distilling Co.,undisclosed,"dried fruit, caramel, dark cherry, sherry, oak",4
"Bardstown Bourbon Company Fusion Series No. 7, 49.05%",65,49,92,2022,Bardstown Bourbon Company,undisclosed,"caramel, oak, vanilla, spice, fruit",3.5
"Copper & Kings American Apple Brandy Cask Finished Blend, 55.5%",65,55.5,92,NA,Copper & Kings Distillery,undisclosed,"apple, spice, caramel, oak, vanilla",4
"Four Roses 13 year old Barrel Strength, 52.1%",70,52.1,92,NA,Four Roses Distillery,undisclosed,"caramel, oak, spice, vanilla, fruity",13
"Booker s 2017-01  Tommy s Batch,  64.25%",70,64.2,92,2017,Jim Beam,"77% corn, 13% rye, 10% malted barley","caramel, vanilla, oak, spice, cinnamon",6.5
"Booker s 2018-01 ""Kathleen s Batch,"" 63.7%",70,63.7,92,2018,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","vanilla, caramel, oak, spice, rich",6.5
"Rabbit Hole Heigold Kentucky Straight Bourbon, 47.5%",70,47.5,92,2023,Rabbit Hole Distillery,"70% corn, 25% malted rye, 5% malted barley","caramel, spice, toasted oak, citrus",3
"Thomas S. Moore Cabernet Sauvignon Cask-Finished, 47.65%",70,47.6,92,2021,Barton 1792 Distillery,undisclosed,"dark fruit, oak, vanilla, spice, tannins",5
"O.H. Ingram River Aged (Barge #IN068518), 52.5%",70,52.5,92,2022,O.H. Ingram River Aged Whiskey (distilled by MGP),undisclosed,"caramel, oak, vanilla, spice, toasted nuts",4
"Elijah Craig 12 year old Barrel Proof (B522), 60.5%",70,60.5,92,2023,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, spice, dark fruit",12
"New Riff 8 year old, 50%",70,50,92,NA,New Riff Distillery,undisclosed,"caramel, oak, cinnamon, vanilla, spice",8
"Whiskey Jypsi Explorer French and Appalachian Oak Stave Finished, 51.5%",70,51.5,92,2023,"Whiskey Jypsi (sourced, undisclosed distillery)",undisclosed,"oak, vanilla, spice, caramel, toasted",4
"Booker s 2017-04  Sip Awhile,  64.05%",73,64,92,2017,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","vanilla, oak, caramel, spice, nutty",6.5
"Van Winkle 18 year old Family Reserve, 52.6%",75,52.6,92,NA,Buffalo Trace Distillery,undisclosed,"vanilla, caramel, oak, spice, dried fruit",18
"Booker s 2018-04  Kitchen Table,  64%",75,64,92,2018,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","caramel, oak, vanilla, spice, rich",6.5
"Elijah Craig Barrel Proof (Batch C923), 66.5%",75,66.5,92,2023,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, cinnamon, spice",12
"Booker s 2019-01  Teresa s Batch,  62.95%",80,63,92,2019,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","oak, caramel, vanilla, spice, cinnamon",6.5
"Booker s 2019-04  Beaten Biscuits  Kentucky Straight Bourbon, 63.05%",80,63,92,2019,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","vanilla, oak, caramel, biscuit, spice",6.5
"Lucky Seven The Frenchman French Oak Barrel Finished, 56.5%",80,56.5,92,2023,Undisclosed,Undisclosed,"Rich oak, Vanilla, Caramel, Baking spices, Fruit",6
"Red Line 6 year old Cask Strength Single Barrel (No. 155), 56.5%",80,56.5,92,NA,Undisclosed (sourced bourbon),"75% corn, 21% rye, 4% malted barley","Caramel, Vanilla, Oak, Spice, Brown Sugar",6
"Still Austin Bottled in Bond Red Corn (Summer 2023), 50%",80,50,92,2023,Still Austin Whiskey Co.,undisclosed (features red corn),"caramel, toasted oak, spice, vanilla, fruity",4
"Lost Lantern Still Austin Single Cask, 51.9%",80,51.9,92,NA,Still Austin Whiskey Co.,undisclosed,"caramel, vanilla, baking spice, oak, fruity",4
"Frey Ranch Farmers + Distillers Cask Strength Small Batch (Batch 9), 62.15%",80,62.1,92,2023,Frey Ranch Distillery,"66.6% corn, 11.4% winter rye, 10% winter wheat, 12% two-row barley","caramel, vanilla, oak, spice, dark fruit",4
"Still Austin Bottled in Bond Blue Corn, 50%",80,50,92,2023,Still Austin Whiskey Co.,undisclosed (contains blue corn),"caramel, vanilla, toasted oak, corn sweetness",4
"Leiper's Fork 4 year old Bottled in Bond (Batch 14), 50%",80,50,92,2023,Leiper's Fork Distillery,"70% corn, 15% rye, 15% malted barley","caramel, toasted oak, spice, vanilla, dried fruit",4
"Doc Swinson s Exploratory Cask Bossa Nova Brazilian Amburana Cask Finished, 56.4%",80,56.4,92,2023,"Doc Swinson's (sourced, exact distillery undisclosed)",undisclosed,"spicy, tropical fruit, cinnamon, vanilla, toasted oak",4
"Remus Repeal Reserve (Series II), 50%",85,50,92,2018,MGP (Ross & Squibb Distillery),undisclosed,"spicy, caramel, dried fruit, oak, vanilla",5
"Four Roses Limited Edition Single Barrel (2013 Release), 60%",90,60,92,2013,Four Roses Distillery,"60% corn, 35% rye, 5% malted barley","rich fruit, caramel, spice, oak, vanilla",10
"Parker s Heritage Collection Promise of Hope 10 year old, 48%",90,48,92,2007,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","caramel, oak, vanilla, spice, fruity",13
"Barrell 10 year old Cask-Strength Blend of Straight Bourbons (Batch 020), 53.35%",90,53.4,92,2020,"Barrell Craft Spirits (sourced, exact distillery undisclosed)",undisclosed,"caramel, vanilla, oak, spice, toasted nuts",10
"Barrell Cask-Strength Blend of Straight Bourbons (Batch 023), 53.89%",90,53.9,92,2020,Barrell Craft Spirits (sourced from undisclosed distilleries),undisclosed,"caramel, vanilla, oak, spice, dried fruit",10
"Old Fitzgerald 9 year old Bottled in Bond Kentucky Straight Bourbon (Spring 2020 Edition), 50%",90,50,92,2020,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, rich, smooth",9
"Barrell Cask Strength Blend of Straight (Batch 028), 54.43%",90,54.4,92,2021,Barrell Craft Spirits (sourced; exact distillery undisclosed),undisclosed,"caramel, vanilla, spice, oak, dried fruit",10.5
"Booker s 2021-01  Donohoe s Batch  Kentucky Straight, 62.65%",90,62.6,92,2021,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","vanilla, caramel, oak, spice, cinnamon",6.94
"Barrell New Year Cask Strength (2022 Edition), 57.67%",90,57.7,92,2022,Barrell Craft Spirits (sourced blend),undisclosed,"caramel, spice, toasted oak, vanilla, dried fruit",9.5
"Booker s  The Lumberyard Batch  (2022-02), 62.4%",90,62.4,92,2022,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","oak, vanilla, caramel, spice, toasted nuts",7.1
"Barrell Bourbon Cask Strength New Year Edition 2023, 56.77%",90,56.8,92,2023,Barrell Craft Spirits (sourced from various undisclosed distilleries),undisclosed,"caramel, spice, vanilla, oak, dried fruit",10
"Booker s Apprentice Batch (Batch 2023-02), 62.75%",90,62.8,92,2023,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","vanilla, oak, caramel, spice",7.1
"Penelope Cooper Series Rio Straight (Batch 23-901), 49%",90,49,92,2023,Penelope Bourbon (sourced from MGP),undisclosed,"honey, tropical fruit, toasted oak, caramel, spice",5
"Barrell Cask Strength (Batch 036), 57.22%",90,57.2,92,2023,Barrell Craft Spirits (sourced; exact distillery undisclosed),undisclosed,"caramel, spice, vanilla, oak, dried fruits",10
"Kuiper Belt 6 year old Small Batch, 45%",95,45,92,NA,Undisclosed,Undisclosed,"Vanilla, Caramel, Oak, Spice, Honey",6
"Milam & Greene Unabridged Volume 2, 58.6%",95,58.6,92,2023,Milam & Greene,undisclosed,"caramel, spice, vanilla, oak, dark fruit",6
"Eagle Rare 17 year old (2018 Buffalo Trace Antique Collection), 50.5%",99,50.5,92,2018,Buffalo Trace Distillery,Undisclosed,"Oak, Caramel, Vanilla, Spice, Leather",17
"Lucky Seven 12 year old The Hold Up Kentucky Straight Bourbon (Batch 01), 50%",99,50,92,2019,Undisclosed,Undisclosed,"Oak, Caramel, Vanilla, Spice, Dark Fruit",12
"Eagle Rare 17 year old Kentucky Straight (Buffalo Trace Antique Collection 2020), 50.5%",99,50.5,92,2020,Buffalo Trace Distillery,undisclosed,"caramel, oak, vanilla, spice, tobacco",17
"Jack Daniel s 150th Anniversary, 50%",100,50,92,2016,Jack Daniel Distillery,"80% corn, 12% malted barley, 8% rye","Oak, vanilla, caramel, spice",NA
"Yellowstone Limited Edition 7 year old (2016 Release), 50.5%",100,50.5,92,2016,Limestone Branch Distillery,undisclosed,"caramel, oak, spice, vanilla, fruity",7
"Blood Oath Pact 3, 49.3%",100,49.3,92,2017,Lux Row Distillers,undisclosed,"caramel, vanilla, oak, spice, fruity",7
"Yellowstone 9 year old Limited Edition Kentucky Straight (2019 Release), 50.5%",100,50.5,92,2019,Limestone Branch Distillery,undisclosed,"caramel, vanilla, oak, toasted spice",9
"Heaven s Door Master Blender s Edition Redbreast Finish, 50%",100,50,92,2023,Heaven's Door Spirits,undisclosed,"dried fruit, spice, vanilla, oak, caramel",10
"Heaven s Door 10 year old Decade Series, 50%",100,50,92,2022,"Heaven's Door (sourced, distillery undisclosed)",undisclosed,"caramel, vanilla, oak, spice, toasted nuts",10
"World Whiskey Society 10 year old Cognac Cask Finished, 57.8%",100,57.8,92,2023,Undisclosed,Undisclosed,"Rich fruit, Cognac influence, Oak, Spice, Caramel",10
"Lost Lantern Soaring Spice Frey Ranch Distillery Nevada Straight Bourbon, 63.8%",100,63.8,92,2023,Frey Ranch Distillery,undisclosed,"spicy, bold, rich, caramel, oak",4
"Rare Character Single Barrel Series Amburana Cask Finished (Barrel No. AMB-B-09), 57.36%",100,57.4,92,2023,"Rare Character (sourced, exact distillery undisclosed)",undisclosed,"cinnamon, baking spice, vanilla, caramel, oak",6.66
"Heaven Hill Grain to Glass Wheated (Distilled in 2017; 2024 Release), 60.5%",100,60.5,92,2017,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","Sweet, Vanilla, Caramel, Oak, Creamy",7
"Old Fitzgerald 11 year old Bottled in Bond (Fall 2021), 50%",110,50,92,2021,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, spice, honey",11
"Lost Prophet 22 year old, 45%",120,45,92,2014,George T. Stagg Distillery (Buffalo Trace Distillery),"75% Corn, 15% Rye, 10% Malted Barley","oak, caramel, spice, vanilla, dried fruit",22
"Elijah Craig Single Barrel (No. 4040) 18 year old, 45%",120,45,92,2016,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","Oak, Caramel, Vanilla, Spice, Leather",18
"Michter s 10 year old Single Barrel Bourbon (Barrel #18B202), 47.2%",120,47.2,92,2021,Michter's Distillery,undisclosed,"caramel, vanilla, oak, spice, dried fruit",10
"Tumblin  Dice 11 year old Straight Bourbon, 50%",120,50,92,NA,MGP (Sourced),undisclosed,"caramel, vanilla, oak, spice, brown sugar",11
"Bardstown Bourbon Company Phifer Pavitt Reserve, 53.5%",125,53.5,92,2020,Bardstown Bourbon Company,undisclosed,"caramel, black cherry, vanilla, spices, oak",9
"Bardstown Bourbon Co. The Prisoner Wine-Barrel Finished Bourbon, 50%",125,50,92,2020,Bardstown Bourbon Company,undisclosed,"dark fruit, vanilla, oak, spice, wine-influenced",9
"Bardstown Bourbon Co. Copper & Kings Spanish Oloroso Sherry Cask-Finished, 50%",125,50,92,2023,Bardstown Bourbon Company,undisclosed,"dried fruit, oak, spice, caramel, sherry",9
"Knob Creek 25th Anniversary Single Barrel, 61%",130,61,92,2017,Jim Beam Distillery,"75% Corn, 13% Rye, 12% Malted Barley","Oak, Vanilla, Spice, Caramel, Rich",9
"Parker s Heritage Collection 2017 11 year old, 66%",130,66,92,2017,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","Oak, caramel, vanilla, spice, toasted nuts",11
"The Ambassador 12 year old Barrel Proof Straight, 52.85%",130,52.9,92,NA,MGP (Midwest Grain Products),undisclosed,"caramel, vanilla, spice, oak, dried fruit",12
"Old Forester Birthday Bourbon Kentucky Straight (2020 Release), 49%",130,49,92,2020,Old Forester Distillery,"72% corn, 18% rye, 10% malted barley","caramel, spice, oak, vanilla, brown sugar",10
"Woodford Reserve Batch Proof, 62.35%",130,62.4,92,2021,Woodford Reserve Distillery,"72% corn, 18% rye, 10% malted barley","Rich caramel, toasted oak, spice, vanilla, dark chocolate",10
"High N  Wicked 15 year old No.8 The Jury Madeira Cask Finished, 52%",130,52,92,2023,Undisclosed,Undisclosed,"Rich, Fruity, Wine-influenced, Spicy, Oak",15
"Bardstown Bourbon Company Discovery Series 10, 57.12%",140,57.1,92,2023,Bardstown Bourbon Company,undisclosed,"caramel, toasted oak, baking spice, vanilla, dried fruit",10
"Old Fitzgerald 10 year old Bottled in Bond (Spring 2023), 50%",140,50,92,2023,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, spice, soft fruit",10
"Bardstown Discovery Series No. 11, 59.05%",140,59,92,2023,Bardstown Bourbon Company,undisclosed,"caramel, spice, oak, vanilla, dried fruit",11
"Wild Turkey Master s Keep Revival, 50.5%",150,50.5,92,2018,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","cherry, spice, caramel, vanilla, oak",15
"Doc Swinson s 15 year old Exploratory Cask Series Kentucky Straight Bourbon (Barrel No. 18), 59.1%",150,59.1,92,NA,Undisclosed (sourced from Kentucky),Undisclosed,"Rich oak, caramel, vanilla, spice",15
"Hard Truth 14 year old Schoonover Uncut & Unfiltered (Barrel No. 357), 54.52%",150,54.5,92,NA,Hard Truth Distilling Co.,undisclosed,"rich oak, caramel, vanilla, baking spice, dried fruit",14
"Puncher s Chance The Left Cross 14 year old, 48%",150,48,92,2023,"IJW Whiskey Company (sourced, specific distillery undisclosed)","84% corn, 8% malted barley, 8% rye","Caramel, Vanilla, Oak, Spice, Dark Fruit",14
"Kentucky Owl Takumi Edition, 50%",150,50,92,2022,Kentucky Owl (collaboration with Nagahama Distillery),undisclosed,"caramel, orchard fruit, spice, vanilla, oak",14
"Hirsch The Single Barrel Double Oak (Batch AHH0723/ Barrel GLD23046), 56.1%",150,56.1,92,2024,Hirsch (sourced from Bardstown Bourbon Company),"72% Corn, 13% Rye, 15% Malted Barley","oak, caramel, vanilla, spice, toasted",12
"Bardstown Bourbon Company Chateau De Laubade Armagnac Cask Finished (2022 Release), 53.5%",160,53.5,92,2022,Bardstown Bourbon Company,undisclosed,"dried fruit, oak, caramel, spice",10
"Preservation Distillery Old Man Winter From the Black Hills (2023), 54.9%",160,54.9,92,2023,Preservation Distillery,undisclosed,"caramel, oak, spice, vanilla, toasted nuts",5
"Garrison Brothers Lady Bird, 57%,",180,57,92,2023,Garrison Brothers Distillery,undisclosed,"honey, spice, caramel, toasted oak",5
"Wyoming Barrel Strength Bourbon (Barrel 443), 58%",199,58,92,NA,Wyoming Whiskey,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, spice",5
"Jefferson s Presidential Select 16 year old Twin Oak, 47%",200,47,92,2021,Kentucky Artisan Distillery,undisclosed,"oak, vanilla, caramel, spice, toasted nuts",16
"Four Gate Outer Loop Orbit Orange Cura ao-Gin Cask-Finished Bourbon, 60.15%",200,60.1,92,2023,Four Gate Whiskey Company,undisclosed,"citrus, herbal, spicy, oak, juniper",5
"Sweetens Cove 13 year old Tennessee Straight (Batch 1), 51.09%",200,51.1,92,2020,"Undisclosed (sourced from Tennessee, widely presumed to be Cascade Hollow Distillery)",undisclosed,"caramel, vanilla, oak, spice, dried fruit",13
"Angel s Envy Port Finished Cask Strength (2023 Release), 59.1%",230,59.1,92,2023,Angel's Envy Distillery,"72% corn, 18% rye, 10% malted barley","dark fruit, caramel, chocolate, spice, oak",5
"Old Fitzgerald 13 year old Bottled in Bond (Batch VVS 2024), 50%",230,50,92,2024,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, honey, spice",13
"Old Fitzgerald Bottled in Bond 19 year old (Fall 2022), 50%",240,50,92,2022,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","oak, caramel, vanilla, spice, dried fruit",19
"Cascade Moon (Edition No. 2), 45%",250,45,92,2021,Cascade Hollow Distilling Co. (George Dickel Distillery),undisclosed,"vanilla, caramel, oak, fruity, spice",5
"Widow Jane 14 year old The Vaults 2022 (Batch 1), 49.5%",250,49.5,92,2022,"Widow Jane Distillery (sourced whiskey, original distillery undisclosed)",undisclosed,"dark fruit, oak, caramel, vanilla, baking spice",14
"Four Gate 7 year old Majestic Wood Series Brazilian Amburana Oak, 57.55%",250,57.5,92,2023,Undisclosed (Sourced),Undisclosed,"Cinnamon, Baking spices, Vanilla, Oak, Caramel",7
"Very Olde St. Nick Immaculata Ancient Cask, 59.05%,",260,59,92,2023,Undisclosed (likely Preservation Distillery),Undisclosed,"Rich caramel, oak, vanilla, spice, dark fruit",5
"World Whisky Society Reserve Collection 15 year old Kentucky Straight (Batch 257), 56%",299,56,92,NA,Undisclosed,Undisclosed,"Rich oak, caramel, spice, vanilla, dried fruit",15
"Kentucky Owl Straight Bourbon (Batch 8), 60.5%",300,60.5,92,2018,"Kentucky Owl (sourced, undisclosed distillery)",undisclosed,"caramel, vanilla, oak, spice, dried fruit",5
"Heaven Hill 13 year old 85th Anniversary Single Barrel Kentucky Straight, 53.5%",300,53.5,92,2019,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","oak, caramel, vanilla, spice, dried fruit",13
"Heaven Hill 18 year old Heritage Collection Small Batch, 60%",300,60,92,2022,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","oak, caramel, vanilla, spice, tobacco",18
"Angel s Envy Mizunara Oak Cask-Finished Kentucky Straight, 48.9%",350,48.9,92,2023,Angel's Envy Distillery,"72% corn, 18% rye, 10% malted barley","caramel, spice, vanilla, oak, fruit",5
"Kentucky Owl Straight (Batch 12), 57.9%",400,57.9,92,2021,Kentucky Owl,undisclosed,"caramel, oak, cinnamon, vanilla, spice",5
"William Heavenhill 225th Anniversary Edition, 63.8%",500,63.8,92,2021,Heaven Hill Distillery,undisclosed,"caramel, vanilla, oak, spice, rich",5
"Barrell 16 year old Gold Label, 56.77%",500,56.8,92,2022,Undisclosed (sourced blend),undisclosed,"rich oak, caramel, spice, dried fruit, vanilla",16
"Blade and Bow 22 year old, 46%",780,46,92,2022,Stitzel-Weller Distillery,undisclosed,"caramel, oak, vanilla, spice, dried fruit",22
"Blade and Bow 22 year old, 46%",780,46,92,2022,Stitzel-Weller Distillery,undisclosed,"caramel, oak, vanilla, spice, dried fruit",22
"Elmer T. Lee Single Barrel, 45%",25,45,91,NA,Buffalo Trace Distillery,undisclosed,"caramel, vanilla, oak, honey, spice",5
"Early Times Bottled in Bond Kentucky Straight, 50%",25,50,91,2020,Brown-Forman Distillery,"79% corn, 11% rye, 10% malted barley","caramel, vanilla, oak, spice",5
"Evan Williams Single Barrel Vintage 2010, 43.3%",30,43.3,91,2010,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","Caramel, Vanilla, Oak, Spice, Honey",5
"Kirkland 7 year old Tennessee Straight Bourbon (Batch T-1796), 51.5%",30,51.5,91,2015,Undisclosed (widely believed to be from George Dickel Distillery),Undisclosed,"caramel, oak, vanilla, spice, honey",7
"Elijah Craig Small Batch Single Barrel Bourbon 10 year old, 47%",35,47,91,NA,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, vanilla, oak, spice, honey",10
"Ezra Brooks 99 Special Cask Finished Series Port Wine Cask Finished, 49.5%",35,49.5,91,NA,Lux Row Distillers,"78% corn, 10% rye, 12% malted barley","dried fruit, caramel, oak, sweet, spice",5
"W.L. Weller 12 year old Straight Bourbon, 45%",37,45,91,NA,Buffalo Trace Distillery,Undisclosed (wheated mash bill),"Caramel, Vanilla, Oak, Smooth, Rich",12
"Elijah Craig PGA Championship Commemorative Edition Small Batch (2024), 47%",37,47,91,2024,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, spice",10
"Bulleit 10 year old, 45.6%",40,45.6,91,NA,Bulleit Distilling Co. (Diageo),"68% corn, 28% rye, 4% malted barley","oak, caramel, spice, dried fruit",10
"Jack Daniel s Tennessee Tasters  Selection High Angel s Share Barrels, 53.5%",40,53.5,91,2019,Jack Daniel's Distillery,"80% corn, 12% malted barley, 8% rye","Rich caramel, oak, vanilla, spice, toasted nuts",5.75
"Old Dominick Huling Station Very Small Batch Bourbon, 50%",40,50,91,NA,Old Dominick Distillery,"52% corn, 44% rye, 4% malted barley","caramel, spice, vanilla, oak, pepper",4
"Wheel Horse Cigar Blend Sherry, Port, & Armagnac Cask Finished (Fall 2023 Release), 50.5%",40,50.5,91,2023,Green River Distilling Co.,"70% corn, 21% rye, 9% malted barley","rich fruit, tobacco, dried berries, spice, oak",4
"Redwood Empire Pipe Dream, 45%",40,45,91,NA,Redwood Empire Distilling,"75% corn, 21% rye, 4% malted barley","vanilla, caramel, toasted oak, spice",6
"Oppidan Smoke + Sea Straight, 46%",45,46,91,NA,Oppidan Spirits,undisclosed,"smoky, caramel, sea salt, oak",NA
"George Dickel Barrel Select Tennessee Whiskey, 43%",46,43,91,NA,Cascade Hollow Distillery,"84% corn, 8% rye, 8% malted barley","caramel, oak, vanilla, spice",11
"Buffalo Trace Experimental Collection, Cabernet Franc aged after 6 years, 14 year old, 45%",47,45,91,NA,Buffalo Trace Distillery,undisclosed,"fruity, oak, spice, berry, tannic",14
"Buffalo Trace Experimental Collection Rye 115, 45%",47,45,91,2022,Buffalo Trace Distillery,undisclosed,"spicy, rye, oak, caramel, vanilla",11.75
"Buffalo Trace Experimental Collection Rye 125, 45%",47,45,91,NA,Buffalo Trace Distillery,undisclosed,"spicy, oak, caramel, vanilla",12.75
"Buffalo Trace Old Fashioned Sour Mash (125 Entry Proof), 45%",47,45,91,NA,Buffalo Trace Distillery,undisclosed,"caramel, vanilla, oak, spice, fruit",13.25
"Old Forester Birthday Bourbon, 1997 Vintage, 12 year old, 47.5%",50,47.5,91,1997,Old Forester Distillery (Brown-Forman),"72% corn, 18% rye, 10% malted barley","oak, caramel, vanilla, spice, dried fruit",12
"Wild Turkey Kentucky Spirit (Barrel #98), 50.5%",50,50.5,91,NA,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","caramel, vanilla, oak, spice, cinnamon",8.5
"Woodford Reserve Frosty Four Wood, 45.2%",50,45.2,91,2022,Woodford Reserve Distillery,undisclosed,"rich oak, caramel, spice, dried fruit",NA
"W.B. Saffell Kentucky Straight, 53.5%",50,53.5,91,2018,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","caramel, oak, spice, vanilla, toasted nuts",4
"New Riff Backsetter Peated Backset Bottled in Bond Kentucky Straight Bourbon, 50%",50,50,91,2020,New Riff Distilling,"65% Corn, 30% Rye, 5% Malted Barley","Smoky, Spicy, Fruity, Peaty, Oak",4
"Old Forester The 117 Series High Angels  Share Barrels Kentucky Straight (Batch 001), 55%",50,55,91,2023,Old Forester Distillery,"72% corn, 18% rye, 10% malted barley","Oak, caramel, vanilla, spice, rich",5
"The Representative 4 year old Straight, 57.4%",50,57.4,91,NA,Proof and Wood Ventures (distilled at MGP),"75% corn, 21% rye, 4% malted barley","caramel, spice, vanilla, oak",4
"Chattanooga Islay Scotch Cask Finished, 47.5%",50,47.5,91,2023,Chattanooga Whiskey,undisclosed,"smoky, peaty, caramel, oak, malt",4
"Nine Banded Wheated, 45%",50,45,91,NA,"Nine Banded Whiskey (sourced, exact distillery undisclosed)","51% corn, 45% wheat, 4% malted barley","Vanilla, Honey, Caramel, Soft, Smooth",4
"Blade and Bow, 45.5%",50,45.5,91,NA,Stitzel-Weller Distillery,undisclosed,"caramel, vanilla, oak, spice, dried fruit",NA
"Mayor Pingree 5 year old Bosco Batch (2023 Release), 47%",50,47,91,2023,Valentine Distilling Co.,Undisclosed,"caramel, vanilla, oak, baking spice, dried fruit",5
"2XO Oak Series American Oak, 46%",50,46,91,2023,Two Times Oak (2XO),undisclosed,"oak, caramel, vanilla, spice",4
"Hirsch The Single Barrel White (Barrel 19-32787), 53.5%",50,53.5,91,2023,Undisclosed (sourced from MGP),"72% corn, 21% rye, 7% malted barley","Vanilla, Oak, Spice, Caramel, Citrus",4
"Old Forester Birthday Bourbon (2013 Edition) 12 year old, 49%",55,49,91,2013,Brown-Forman Distillery,"72% corn, 18% rye, 10% malted barley","caramel, oak, spice, vanilla, dark fruit",12
"Bib and Tucker 6 year old Small Batch Double Char (Batch 01), 44%",55,44,91,2023,"Undisclosed (sourced, Tennessee origin)",undisclosed,"caramel, vanilla, toasted oak, cinnamon, spice",6
"Hard Truth 5 year old Bottled in Bond Sweet Mash Wheated (Spring 2019 Vintage), 50%",55,50,91,2019,Hard Truth Distilling Co.,undisclosed,"sweet, wheated, caramel, vanilla, oak",5
"Booker s 2016-01  Bluegrass Batch,  63.95%",60,64,91,2016,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","vanilla, caramel, spicy, oak, cinnamon",6.92
